name,nationality,sex,height,sport,gold,silver,bronze
Saily Viart,CUB,female,1.70,athletics,0,0,0
Saina Nehwal,IND,female,1.65,badminton,0,0,0
Saisai Zheng,CHN,female,1.70,tennis,0,0,0
Saiyidah Mohamed Rafa'ee,SIN,female,1.73,rowing,0,0,0
Saiyinjirigala,CHN,male,1.75,judo,0,0,0
Sajan Prakash Prakash,IND,male,1.78,aquatics,0,0,0
Sajjad Mardani,IRI,male,1.98,taekwondo,0,0,0
Sakiko Shimizu,JPN,female,1.56,aquatics,0,0,0
Sakina Karchaoui,FRA,female,1.60,football,0,0,0
Sakiyo Asano,JPN,female,1.64,hockey,0,0,0
Sakshi Malik,IND,female,1.62,wrestling,0,0,1
Sakura Noshitani,JPN,female,1.68,gymnastics,0,0,0
Sakura Tsukagoshi,JPN,female,1.68,cycling,0,0,0
Salem Eid Yaqoob,BRN,male,1.75,athletics,0,0,0
Salim Keddar,ALG,male,1.76,athletics,0,0,0
Salima Elouali Alami,MAR,female,1.79,athletics,0,0,0
Sally Conway,GBR,female,1.67,judo,0,0,1
Sally Kehoe,AUS,female,1.72,rowing,0,0,0
Sally Rutherford,NZL,female,1.65,hockey,0,0,0
Sally Yee,FIJ,female,,table tennis,0,0,0
Salma Negmeldin,EGY,female,1.60,aquatics,0,0,0
Salome Kora,SUI,female,1.73,athletics,0,0,0
Salome Nyirarukundo,RWA,female,,athletics,0,0,0
Salome Pazhava,GEO,female,1.68,gymnastics,0,0,0
Salvador,POR,male,1.68,football,0,0,0
Salvador Piera,ESP,male,1.83,hockey,0,0,0
Salvatore Rossini,ITA,male,1.85,volleyball,0,1,0
Salwa Eid Naser,BRN,female,1.68,athletics,0,0,0
Salwan Jasim Abbood Abbood,IRQ,male,1.80,weightlifting,0,0,0
Sam Cross,GBR,male,1.91,rugby sevens,0,1,0
Sam Crouser,USA,male,1.99,athletics,0,0,0
Sam Dickson,NZL,male,1.93,rugby sevens,0,0,0
Sam Dommer,USA,male,1.88,rowing,0,0,0
Sam Dorman,USA,male,1.76,aquatics,0,1,0
Sam Griffiths,AUS,male,1.71,equestrian,0,0,1
Sam Groth,AUS,male,,tennis,0,0,0
Sam Kendricks,USA,male,1.86,athletics,0,0,1
Sam McEntee,AUS,male,1.91,athletics,0,0,0
Sam Meech,NZL,male,1.83,sailing,0,0,1
Sam Townsend,GBR,male,1.99,rowing,0,0,0
Sam Ward,GBR,male,1.78,hockey,0,0,0
Sam Webster,NZL,male,1.83,cycling,0,1,0
Sam Welsford,AUS,male,1.79,cycling,0,1,0
Sam Willoughby,AUS,male,1.73,cycling,0,0,0
Saman Ahmed Tahmasebi,AZE,male,1.80,wrestling,0,0,0
Samantha Arevalo,ECU,female,1.71,aquatics,0,0,0
Samantha Birch,AUS,female,1.61,equestrian,0,0,0
Samantha Charlton,NZL,female,1.74,hockey,0,0,0
Samantha Kassman,PNG,female,1.65,taekwondo,0,0,0
Samantha Kerr,AUS,female,1.67,football,0,0,0
Samantha Mewis,USA,female,1.83,football,0,0,0
Samantha Murray,GBR,female,1.74,modern pentathlon,0,0,0
Samantha Quek,GBR,female,1.69,hockey,1,0,0
Samantha Roberts,ANT,female,1.72,aquatics,0,0,0
Samantha Stosur,AUS,female,1.72,tennis,0,0,0
Samar Amer Ibrahim Hamza,EGY,female,1.70,wrestling,0,0,0
Sami Hill,USA,female,1.83,aquatics,1,0,0
Samia Ahmed,EGY,female,1.70,aquatics,0,0,0
Samir Ait Said,FRA,male,1.67,gymnastics,0,0,0
Samira Amirova,UZB,female,1.62,gymnastics,0,0,0
Samira Ouass,MAR,female,1.62,weightlifting,0,0,0
Samira Rocha,BRA,female,1.70,handball,0,0,0
Samisoni Viriviri,FIJ,male,1.86,rugby sevens,1,0,0
Samkelisiwe Zulu,ZIM,female,1.64,football,0,0,0
Samson Samuel Opuakpo Forcados,NGR,male,1.83,aquatics,0,0,0
Samuel Albrecht,BRA,male,1.80,sailing,0,0,0
Samuel Carmona Heredia,ESP,male,1.62,boxing,0,0,0
Samuel Cordova,MEX,male,2.00,volleyball,0,0,0
Samuel Gaze,NZL,male,1.89,cycling,0,0,0
Samuel Ireri Gathimba,KEN,male,1.65,athletics,0,0,0
Samuel Mikulak,USA,male,1.67,gymnastics,0,0,0
Samuel Ojserkis,USA,male,1.73,rowing,0,0,0
Samuel Oliech,KEN,male,1.85,rugby sevens,0,0,0
Samuel Schachter,CAN,male,1.95,volleyball,0,0,0
Samuel Walker,GBR,male,1.86,table tennis,0,0,0
Samuela Nabenia,FIJ,male,1.78,football,0,0,0
Samuil Donkov,BUL,male,1.70,shooting,0,0,0
Samuli Piippo,FIN,male,1.81,archery,0,0,0
Samy Abdel Razek,EGY,male,1.70,shooting,0,0,0
San Naing San Naing,MYA,male,1.70,athletics,0,0,0
San Yu Htwe,MYA,female,1.67,archery,0,0,0
Sanaa Koubaa,GER,female,1.70,athletics,0,0,0
Sanae Motokawa,JPN,female,1.75,basketball,0,0,0
Sanah Mollo,RSA,female,1.59,football,0,0,0
Sanchai Ratiwatana,THA,male,1.75,tennis,0,0,0
Sanda Belgyan,ROU,female,1.65,athletics,0,0,0
Sandeep Kumar,IND,male,,athletics,0,0,0
Sandeep Tomar,IND,male,1.68,wrestling,0,0,0
Sander Baart,NED,male,1.78,hockey,0,0,0
Sander de Wijn,NED,male,1.83,hockey,0,0,0
Sandi Morris,USA,female,1.73,athletics,0,1,0
Sandie Clair,FRA,female,1.60,cycling,0,0,0
Sandie Toletti,FRA,female,1.69,football,0,0,0
Sandor Racz,HUN,male,1.78,athletics,0,0,0
Sandor Totka,HUN,male,1.88,canoe,0,0,0
Sandra Aguilar,ESP,female,1.68,gymnastics,0,1,0
Sandra Arenas,COL,female,1.60,athletics,0,0,0
Sandra Auffarth,GER,female,1.70,equestrian,0,1,0
Sandra Eriksson,FIN,female,1.63,athletics,0,0,0
Sandra Gal,GER,female,1.83,golf,0,0,0
Sandra Galvis,COL,female,1.60,athletics,0,0,0
Sandra Gomis,FRA,female,1.65,athletics,0,0,0
Sandra Lemos,COL,female,1.70,athletics,0,0,0
Sandra Perkovic,CRO,female,1.83,athletics,1,0,0
Sandra Sepulveda,COL,female,1.67,football,0,0,0
Sandrine Gruda,FRA,female,1.93,basketball,0,0,0
Sandrine Mainville,CAN,female,1.73,aquatics,0,0,1
Sandro Aminashvili,GEO,male,1.80,wrestling,0,0,0
Sandro Bazadze,GEO,male,1.93,fencing,0,0,0
Sandro Sukno,CRO,male,2.00,aquatics,0,1,0
Sanghoon Park,KOR,male,1.83,cycling,0,0,0
Sanghyeok Woo,KOR,male,1.87,athletics,0,0,0
Sangmin Sim,KOR,male,1.72,football,0,0,0
Sangmyeong Ham,KOR,male,1.68,boxing,0,0,0
Sangsu Lee,KOR,male,1.80,table tennis,0,0,0
Sangwook Lee,KOR,male,1.70,gymnastics,0,0,0
Sangyoung Park,KOR,male,1.77,fencing,1,0,0
Sania Mirza,IND,female,1.66,tennis,0,0,0
Sanita Puspure,IRL,female,1.80,rowing,0,0,0
Sanna Solberg,NOR,female,1.78,handball,0,0,1
Sanne Verhagen,NED,female,1.53,judo,0,0,0
Sanne Wevers,NED,female,1.56,gymnastics,1,0,0
Sanne van Olphen,NED,female,1.77,handball,0,0,0
Sanni Utriainen,FIN,female,1.69,athletics,0,0,0
Santa Pakenyte,LTU,female,1.86,judo,0,0,0
Santiago Alvarez,ARG,male,1.88,rugby sevens,0,0,0
Santiago Ascacibar,ARG,male,1.74,football,0,0,0
Santiago Enrique Grillo Diez,COL,male,1.85,sailing,0,0,0
Santiago Gonzalez,MEX,male,1.91,tennis,0,0,0
Santiago Grassi,ARG,male,1.87,aquatics,0,0,0
Santiago Lange,ARG,male,1.84,sailing,1,0,0
Santiago Ramirez Morales,COL,male,1.80,cycling,0,0,0
Santino Kenyi,SSD,male,1.80,athletics,0,0,0
Santisouk Inthavong,LAO,male,1.70,aquatics,0,0,0
Santo Condorelli,CAN,male,1.88,aquatics,0,0,0
Saori Kimura,JPN,female,1.85,volleyball,0,0,0
Saori Nagamine,JPN,female,1.66,archery,0,0,0
Saori Sakoda,JPN,female,1.75,volleyball,0,0,0
Saori Yoshida,JPN,female,1.57,wrestling,0,1,0
Saoussen Boudiaf,FRA,female,1.73,fencing,0,0,0
Sapana Sapana,IND,female,,athletics,0,0,0
Sapsiree Taerattanachai,THA,female,1.70,badminton,0,0,0
Sara Ahmed,EGY,female,1.55,weightlifting,0,0,1
Sara Algotsson Ostholt,SWE,female,1.63,equestrian,0,0,0
Sara Bertolasi,ITA,female,1.79,rowing,0,0,0
Sara Carmo,POR,female,1.79,sailing,0,0,0
Sara Cholnoky,HUN,female,1.65,sailing,0,0,0
Sara Daebritz,GER,female,1.71,football,1,0,0
Sara Dosho,JPN,female,1.59,wrestling,1,0,0
Sara Errani,ITA,female,1.64,tennis,0,0,0
Sara Franceschi,ITA,female,1.78,aquatics,0,0,0
Sara Gambetta,GER,female,1.84,athletics,0,0,0
Sara Kolak,CRO,female,1.70,athletics,1,0,0
Sara Krnjic,SRB,female,1.93,basketball,0,0,1
Sara Lopez Ravetllat,ESP,female,1.65,sailing,0,0,0
Sara Louise Treacy,IRL,female,1.68,athletics,0,0,0
Sara Moreira,POR,female,1.66,athletics,0,0,0
Sara Mustonen,SWE,female,1.61,cycling,0,0,0
Sara Pastrana,HON,female,1.70,aquatics,0,0,0
Sara Ramadhani,TAN,female,,athletics,0,0,0
Sara Sgarzi,ITA,female,1.75,aquatics,0,0,0
Sara Slott Petersen,DEN,female,1.71,athletics,0,1,0
Sara Tan,SIN,female,1.71,sailing,0,0,0
Sara Vilic,AUT,female,1.70,triathlon,0,0,0
Sarah Atcho,SUI,female,1.80,athletics,0,0,0
Sarah Attar,KSA,female,1.65,athletics,0,0,0
Sarah Banting,AUS,female,,rowing,0,0,0
Sarah Barrow,GBR,female,1.60,aquatics,0,0,0
Sarah Bouhaddi,FRA,female,1.75,football,0,0,0
Sarah Bro,DEN,female,1.77,aquatics,0,0,0
Sarah Elizabeth Robles,USA,female,1.78,weightlifting,0,0,1
Sarah Goss,NZL,female,1.76,rugby sevens,0,1,0
Sarah Gregorius,NZL,female,1.58,football,0,0,0
Sarah Guyot,FRA,female,1.76,canoe,0,0,0
Sarah Hammer,USA,female,1.71,cycling,0,2,0
Sarah Hornung,SUI,female,1.51,shooting,0,0,0
Sarah Kohler,GER,female,1.79,aquatics,0,0,0
Sarah Lahti,SWE,female,1.77,athletics,0,0,0
Sarah Menezes,BRA,female,1.54,judo,0,0,0
Sarah Michel,FRA,female,1.80,basketball,0,0,0
Sarah Myriam Mazouz,GAB,female,1.77,judo,0,0,0
Sarah Nikitin,BRA,female,1.70,archery,0,0,0
Sarah Ourahmoune,FRA,female,1.57,boxing,0,1,0
Sarah Pavan,CAN,female,1.96,volleyball,0,0,0
Sarah Scherer,USA,female,1.71,shooting,0,0,0
Sarah Sjostrom,SWE,female,1.82,aquatics,1,1,1
Sarah Steyaert,FRA,female,1.75,sailing,0,0,0
Sarah Troel,FRA,female,1.75,canoe,0,0,0
Sarah True,USA,female,1.71,triathlon,0,0,0
Sarah-Anne Brault,CAN,female,1.71,triathlon,0,0,0
Saraswati Bhattarai,NEP,female,1.63,athletics,0,0,0
Sarat Sumpradit,THA,male,1.81,weightlifting,0,0,0
Sardar Singh,IND,male,1.76,hockey,0,0,0
Sardorbek Dusmurotov,UZB,male,1.68,weightlifting,0,0,0
Sargis Martirosjan,AUT,male,1.79,weightlifting,0,0,0
Sarolta Kovacs,HUN,female,1.67,modern pentathlon,0,0,0
Sarra Besbes,TUN,female,1.75,fencing,0,0,0
Sasa Cado,SRB,female,1.78,basketball,0,0,1
Sasa MISIC,MNE,male,1.98,aquatics,0,0,0
Sascha Klein,GER,male,1.73,aquatics,0,0,0
Sascia Kraus,SUI,female,1.77,aquatics,0,0,0
Sashalee Forbes,JAM,female,1.60,athletics,0,1,0
Saskia Bartusiak,GER,female,1.70,football,1,0,0
Saskia Clark,GBR,female,1.76,sailing,1,0,0
Saskia Loretta van Erven Garcia,COL,female,1.75,fencing,0,0,0
Saskia Tidey,IRL,female,1.83,sailing,0,0,0
Saso Taljat,SLO,male,1.74,canoe,0,0,0
Sathish Kumar Sivalingam,IND,male,1.75,weightlifting,0,0,0
Satomi Kubokura,JPN,female,1.60,athletics,0,0,0
Satomi Suzuki,JPN,female,1.68,aquatics,0,0,0
Satoru Sasaki,JPN,male,1.71,athletics,0,0,0
Sattawat Pongnairat,USA,male,1.81,badminton,0,0,0
Satu Makela-Nummela,FIN,female,1.69,shooting,0,0,0
Saturday Erimuya,NGR,male,1.71,football,0,0,1
Saud Alzaabi,UAE,male,,athletics,0,0,0
Saud Habib,IOA,male,1.77,shooting,0,0,0
Saul Craviotto,ESP,male,1.92,canoe,1,0,1
Saul Gutierrez Macedo,MEX,male,1.91,taekwondo,0,0,0
Saula Waqa,FIJ,male,1.96,football,0,0,0
Saulius Ritter,LTU,male,2.02,rowing,0,1,0
Sava Randelovic,SRB,male,1.93,aquatics,1,0,0
Savannah Marshall,GBR,female,1.81,boxing,0,0,0
Savenaca Rawaca,FIJ,male,1.89,rugby sevens,1,0,0
Saviour Godwin,NGR,male,1.72,football,0,0,0
Savita Savita,IND,female,1.71,hockey,0,0,0
Savitree Amitrapai,THA,female,1.64,badminton,0,0,0
Sawan Serasinghe,AUS,male,1.78,badminton,0,0,0
Saylom Ardee,THA,male,1.75,boxing,0,0,0
Sayuri Sugimoto,JPN,female,1.67,gymnastics,0,0,0
Saziye Ivegin Uner,TUR,female,1.80,basketball,0,0,0
Scarleth Elizabeth Mercado Lopez,NCA,female,1.52,weightlifting,0,0,0
Scott Bowden,AUS,male,1.75,cycling,0,0,0
Scott Curry,NZL,male,1.93,rugby sevens,0,0,0
Scott Durant,GBR,male,1.96,rowing,1,0,0
Scott Evans,IRL,male,1.80,badminton,0,0,0
Scott Hend,AUS,male,1.83,golf,0,0,0
Scott Keach,AUS,male,1.85,equestrian,0,0,0
Scott Morgan,CAN,male,1.60,gymnastics,0,0,0
Scott Tupper,CAN,male,1.79,hockey,0,0,0
Scott Westcott,AUS,male,1.79,athletics,0,0,0
Se Gwang Ri,PRK,male,1.55,gymnastics,1,0,0
Seabelo Senatla,RSA,male,1.77,rugby sevens,0,0,1
Seamus Power,IRL,male,1.92,golf,0,0,0
Sean Furey,USA,male,1.88,athletics,0,0,0
Sean Michael Gunn,ZIM,male,1.81,aquatics,0,0,0
Sean Ryan,USA,male,1.91,aquatics,0,0,0
Sean Safo-Antwi,GHA,male,1.71,athletics,0,0,0
Seavmey Sorn,CAM,female,1.83,taekwondo,0,0,0
Sebastiaan Verschuren,NED,male,1.92,aquatics,0,0,0
Sebastian Brendel,GER,male,1.92,canoe,2,0,0
Sebastian Fleischer,DEN,male,1.79,sailing,0,0,0
Sebastian Kerk,GER,male,1.84,football,0,0,0
Sebastian Kuntschik,AUT,male,1.82,shooting,0,0,0
Sebastian Martos,ESP,male,1.78,athletics,0,0,0
Sebastian Morales,COL,male,1.71,aquatics,0,0,0
Sebastian Perez,COL,male,1.77,football,0,0,0
Sebastian Rodger,GBR,male,1.80,athletics,0,0,0
Sebastian Rossi,ARG,male,1.75,canoe,0,0,0
Sebastian Seidl,GER,male,1.74,judo,0,0,0
Sebastian Simonet,ARG,male,1.89,handball,0,0,0
Sebastian Sole,ARG,male,2.00,volleyball,0,0,0
Sebastian Starke Hedlund,SWE,male,1.85,football,0,0,0
Sebastian Villa,COL,male,1.64,aquatics,0,0,0
Sebastien Combot,FRA,male,1.69,canoe,0,0,0
Sebastien Daniel Rousseau,RSA,male,1.90,aquatics,0,0,0
Sebastien Dockier,BEL,male,1.75,hockey,0,1,0
Sebastien Jouve,FRA,male,1.86,canoe,0,0,0
Sebastien Martiny,FRA,male,1.72,gymnastics,0,0,0
Sebastien Reichenbach,SUI,male,1.78,cycling,0,0,0
Sebastien Schneiter,SUI,male,1.76,sailing,0,0,0
Sebnem Nezahat Kimyacioglu,TUR,female,1.82,basketball,0,0,0
Seda Tutkhalian,RUS,female,1.42,gymnastics,0,1,0
Seema Punia,IND,female,1.82,athletics,0,0,0
Segun Toriola,NGR,male,1.72,table tennis,0,0,0
Segundo Jami,ECU,male,1.65,athletics,0,0,0
Seham Elsawalhy,EGY,female,1.75,taekwondo,0,0,0
Sehyeon An,KOR,female,1.68,aquatics,0,0,0
Sei Muroya,JPN,male,1.74,football,0,0,0
Seiichiro Nakagawa,JPN,male,1.74,cycling,0,0,0
Seimone Augustus,USA,female,1.83,basketball,1,0,0
Seito Yamamoto,JPN,male,1.81,athletics,0,0,0
Seiya Adachi,JPN,male,1.72,aquatics,0,0,0
Seiyoung Kim,KOR,female,1.63,golf,0,0,0
Sekou Kaba,CAN,male,1.88,athletics,0,0,0
Selcuk Cebi,TUR,male,1.69,wrestling,0,0,0
Selcuk Eker,TUR,male,1.69,boxing,0,0,0
Selena Piek,NED,female,1.66,badminton,0,0,0
Selim Yasar,TUR,male,1.79,wrestling,0,1,0
Selin Oruz,GER,female,1.72,hockey,0,0,1
Selina Buchel,SUI,female,1.67,athletics,0,0,0
Selina Gschwandtner,GER,female,1.66,shooting,0,0,0
Selma Kajan,AUS,female,1.69,athletics,0,0,0
Semen Makovich,RUS,male,1.80,aquatics,0,0,0
Semi Kunatani,FIJ,male,1.92,rugby sevens,1,0,0
Semoy Hackett,TTO,female,1.73,athletics,0,0,0
Sen Qiao,CHN,male,1.97,taekwondo,0,0,0
Sena Takano,JPN,female,1.65,sailing,0,0,0
Senbere Teferi,ETH,female,,athletics,0,0,0
Senna Deriks,BEL,female,1.54,gymnastics,0,0,0
Seona Hwang,KOR,female,1.63,fencing,0,0,0
Seongeun Hwang,KOR,female,1.65,shooting,0,0,0
Seongyeon Kim,KOR,female,1.75,judo,0,0,0
Seoyeong Kim,KOR,female,1.63,aquatics,0,0,0
Seppe van Holsbeke,BEL,male,1.98,fencing,0,0,0
Ser-Od Bat-Ochir,MGL,male,1.69,athletics,0,0,0
Seref Osmanoglu,TUR,male,1.83,athletics,0,0,0
Seren Bundy-Davies,GBR,female,1.75,athletics,0,0,0
Serena Ortolani,ITA,female,1.87,volleyball,0,0,0
Serena Williams,USA,female,1.78,tennis,0,0,0
Serge Gnabry,GER,male,1.73,football,0,1,0
Serge Michel,GER,male,1.81,boxing,0,0,0
Serge Pauwels,BEL,male,1.77,cycling,0,0,0
Sergei Chernetski,RUS,male,1.76,cycling,0,0,0
Sergei Komissarov,RUS,male,1.84,sailing,0,0,0
Sergey Grankin,RUS,male,1.95,volleyball,0,0,0
Sergey Kamenskiy,RUS,male,1.78,shooting,0,1,0
Sergey Khodos,RUS,male,1.97,fencing,0,0,0
Sergey Richter,ISR,male,1.80,shooting,0,0,0
Sergey Semenov,RUS,male,1.87,wrestling,0,0,1
Sergey Tetyukhin,RUS,male,1.97,volleyball,0,0,0
Serghei Cechir,MDA,male,1.72,weightlifting,0,0,0
Serghei Marghiev,MDA,male,1.95,athletics,0,0,0
Serghei Tarnovschi,MDA,male,1.78,canoe,0,0,1
Serghei Tvetcov,ROU,male,1.78,cycling,0,0,0
Sergi Enrique,ESP,male,1.74,hockey,0,0,0
Sergii Frolov,UKR,male,1.74,aquatics,0,0,0
Sergii Tokarnytskyi,KAZ,male,1.88,canoe,0,0,0
Sergio Alvarez Moya,ESP,male,1.74,equestrian,0,0,0
Sergio Dutra Santos,BRA,male,1.84,volleyball,1,0,0
Sergio Fernandez,ESP,male,1.86,athletics,0,0,0
Sergio Garcia,ESP,male,1.76,golf,0,0,0
Sergio Llull,ESP,male,1.90,basketball,0,0,1
Sergio Luis Henao Montoya,COL,male,1.70,cycling,0,0,0
Sergio Oliveira,POR,male,1.80,football,0,0,0
Sergio Pessoa,CAN,male,1.87,judo,0,0,0
Sergio Reynaldo Gonzalez Bayard,CUB,male,1.95,volleyball,0,0,0
Sergio Rodriguez,ESP,male,1.91,basketball,0,0,1
Sergio Sasaki,BRA,male,1.61,gymnastics,0,0,0
Sergio Vieira,POR,male,1.74,athletics,0,0,0
Sergiu Oleinic,POR,male,1.65,judo,0,0,0
Sergiu Toma,UAE,male,1.80,judo,0,0,1
Serguey Torres,CUB,male,1.75,canoe,0,0,0
Serhiy Budza,UKR,male,1.80,athletics,0,0,0
Serhiy Kulish,UKR,male,1.76,shooting,0,1,0
Serhiy Smelyk,UKR,male,1.78,athletics,0,0,0
Serik Mirbekov,UZB,male,1.76,canoe,0,0,0
Servet Tazegul,TUR,male,1.76,taekwondo,0,0,0
Setareki Hughes,FIJ,male,1.75,football,0,0,0
Seth Weil,USA,male,1.99,rowing,0,0,0
Seul-Ki Ahn,KOR,female,1.61,athletics,0,0,0
Seulchan Lee,KOR,male,1.72,football,0,0,0
Seung Chan Shin,KOR,female,1.73,badminton,0,0,1
Seunga Park,KOR,female,1.68,hockey,0,0,0
Seunghwa Jung,KOR,male,1.80,fencing,0,0,0
Seunghyun Jung,KOR,male,1.88,football,0,0,0
Seunghyun Yun,KOR,male,1.93,athletics,0,0,0
Seungsu Lee,KOR,male,1.78,judo,0,0,0
Seungwoo Han,KOR,male,1.73,shooting,0,0,0
Seungwoo Ryu,KOR,male,1.72,football,0,0,0
Seungyun Lee,KOR,male,1.74,archery,1,0,0
Severiano van Ass,NED,male,1.78,hockey,0,0,0
Severo Jesus Jurado Lopez,ESP,male,1.72,equestrian,0,0,0
Seye Ogunlewe,NGR,male,1.89,athletics,0,0,0
Seyed Mohammad Mousavi Eraghi,IRI,male,2.03,volleyball,0,0,0
Shadae Lawrence,JAM,female,1.73,athletics,0,0,0
Shadrack Kipchirchir,USA,male,1.73,athletics,0,0,0
Shahar Zubari,ISR,male,1.77,sailing,0,0,0
Shahram Mahmoudi,IRI,male,1.98,volleyball,0,0,0
Shaimaa Haridy,EGY,female,1.60,weightlifting,0,0,0
Shakhboz Kholmurzaev,UZB,male,1.88,rowing,0,0,0
Shakhobidin Zoirov,UZB,male,1.69,boxing,1,0,0
Shakhram Giyasov,UZB,male,1.74,boxing,0,1,0
Shakhzodbek Sabirov,UZB,male,1.83,judo,0,0,0
Shakira Baker,NZL,female,1.72,rugby sevens,0,1,0
Shakur Stevenson,USA,male,1.73,boxing,0,1,0
Shalane Flanagan,USA,female,1.66,athletics,0,0,0
Shallon Olsen,CAN,female,1.58,gymnastics,0,0,0
Shamoli Ray,BAN,female,,archery,0,0,0
Shane O'Donoghue,IRL,male,1.83,hockey,0,0,0
Shane Rose,AUS,male,1.81,equestrian,0,0,1
Shane Ryan,IRL,male,1.98,aquatics,0,0,0
Shaneel Naidu,FIJ,male,1.80,football,0,0,0
Shani Bloch,ISR,female,1.62,cycling,0,0,0
Shanice Craft,GER,female,1.85,athletics,0,0,0
Shanieka Thomas,JAM,female,1.81,athletics,0,0,0
Shanne Braspennincx,NED,female,1.72,cycling,0,0,0
Shannon Izar,FRA,female,1.72,rugby sevens,0,0,0
Shannon McCurley,IRL,female,1.63,cycling,0,0,0
Shannon Parry,AUS,female,1.70,rugby sevens,1,0,0
Shannon Rowbury,USA,female,1.66,athletics,0,0,0
Shanshan Feng,CHN,female,1.72,golf,0,0,1
Shanshan Li,CHN,female,1.78,basketball,0,0,0
Shanshan Liu,CHN,female,1.69,football,0,0,0
Shanshan Wang,CHN,female,1.69,football,0,0,0
Shaoqing Hua,CHN,female,1.65,athletics,0,0,0
Shaquania Dorsett,BAH,female,,athletics,0,0,0
Shara Proctor,GBR,female,1.73,athletics,0,0,0
Shara Venegas,PUR,female,1.73,volleyball,0,0,0
Sharath Kamal Achanta,IND,male,1.86,table tennis,0,0,0
Sharif Sharifov,AZE,male,1.80,wrestling,0,0,1
Sharni Williams,AUS,female,1.67,rugby sevens,1,0,0
Sharolyn Scott,CRC,female,1.68,athletics,0,0,0
Sharon Acevedo,COL,female,1.70,rugby sevens,0,0,0
Sharon Firisua,SOL,female,,athletics,0,0,0
Sharon van rouwendaal,NED,female,1.73,aquatics,1,0,0
Shaun Keeling,RSA,male,1.96,rowing,0,1,0
Shaun Kirkham,NZL,male,1.91,rowing,0,0,0
Shaunae Miller,BAH,female,1.85,athletics,1,0,0
Shavez Hart,BAH,male,,athletics,0,0,0
Shawn Dingilius-Wallace,PLW,male,1.84,aquatics,0,0,0
Shawnacy Barber,CAN,male,1.87,athletics,0,0,0
Shay Neal,NZL,male,1.76,hockey,0,0,0
Shea McALEESE,NZL,male,1.77,hockey,0,0,0
Shehzana Anwar,KEN,female,1.60,archery,0,0,0
Sheikh Ali Al Thani,QAT,male,1.94,equestrian,0,0,0
Sheila Chajira,KEN,female,1.65,rugby sevens,0,0,0
Sheila Makoto,ZIM,female,1.58,football,0,0,0
Sheilla Castro de Paula Blassioli,BRA,female,1.85,volleyball,0,0,0
Shelayna Oskan-Clarke,GBR,female,1.72,athletics,0,0,0
Shelbi Vaughan,USA,female,1.83,athletics,0,0,0
Shelby Houlihan,USA,female,1.61,athletics,0,0,0
Shelina Zadorsky,CAN,female,1.72,football,0,0,1
Shelley Marie Watts,AUS,female,1.64,boxing,0,0,0
Shelly Francis,USA,female,1.58,equestrian,0,0,0
Shelly-Ann Fraser-Pryce,JAM,female,1.52,athletics,0,1,1
Sheng Lei,CHN,male,1.93,fencing,0,0,0
Sheng Mu Lee,TPE,male,1.79,badminton,0,0,0
Shengbo Zhao,CHN,male,1.75,shooting,0,0,0
Shengfeng Bi,CHN,male,1.83,wrestling,0,0,0
Sheniqua Ferguson,BAH,female,1.71,athletics,0,0,0
Sherali Juraev,UZB,male,1.82,judo,0,0,0
Shericka Jackson,JAM,female,1.73,athletics,0,1,1
Sherine Elzeiny,EGY,female,1.60,gymnastics,0,0,0
Sherko Kareem,IRQ,male,1.74,football,0,0,0
Shermaine Williams,JAM,female,1.76,athletics,0,0,0
Shih-Chia Lin,TPE,female,1.65,archery,0,0,1
Shih-Chieh Chen,TPE,male,1.90,weightlifting,0,0,0
Shih-Feng Huang,TPE,male,1.78,athletics,0,0,0
Shiho Nishioka,JPN,female,1.69,fencing,0,0,0
Shiho Oyama,JPN,female,1.68,golf,0,0,0
Shijia Wang,CHN,female,1.74,aquatics,0,0,0
Shijie Qieyang,CHN,female,1.60,athletics,0,0,0
Shimaa Hashad,EGY,female,1.66,shooting,0,0,0
Shingo Katayama,JPN,male,1.71,golf,0,0,0
Shinnosuke Nakatani,JPN,male,1.84,football,0,0,0
Shinobu Ota,JPN,male,1.65,wrestling,0,1,0
Shinri Shioura,JPN,male,1.88,aquatics,0,0,0
Shinya Yajima,JPN,male,1.71,football,0,0,0
Shinzo Koroki,JPN,male,1.75,football,0,0,0
Shira Rishony,ISR,female,1.50,judo,0,0,0
Shirin Akter,BAN,female,,athletics,0,0,0
Shitaye Eshete,BRN,female,1.64,athletics,0,0,0
Shiva Thapa,IND,male,1.69,boxing,0,0,0
Shivani Shivani,IND,female,1.63,aquatics,0,0,0
Shiwe Nogwanya,RSA,female,1.68,football,0,0,0
Shiwen Liu,CHN,female,1.60,table tennis,1,0,0
Shiwen Ye,CHN,female,1.72,aquatics,0,0,0
Shiying Liu,CHN,female,1.79,athletics,0,0,0
Shlomi Haimy,ISR,male,1.67,cycling,0,0,0
Shmagi Bolkvadze,GEO,male,1.70,wrestling,0,0,1
Sho Kawamoto,JPN,male,1.75,athletics,0,0,0
Sho Sakai,JPN,male,1.71,aquatics,0,0,0
Sho Sasaki,JPN,male,1.72,badminton,0,0,0
Shohei Iwamoto,JPN,male,1.78,modern pentathlon,0,0,0
Shohei Ono,JPN,male,1.70,judo,1,0,0
Shohei Toyoshima,JPN,male,1.75,rugby sevens,0,0,0
Shona McCALLIN,GBR,female,1.65,hockey,1,0,0
